source,target
Easives of the 26 Apsara in Indign's palace representing her different aspects of the converter:,អប្សរា​ម្នាក់​ៗ​នៃ​អប្សរា​ទាំង​២៦​នាក់​ ក្នុង​រាជវាំង​របស់​ព្រះ​ឥន្ទ្រ តំនាង​អោយ​ទិដ្ឋភាព​ផ្សេងៗ​គ្នា​នៃ​ការ​សំដែង​ឝិល្បៈ
Apsara associated with water and the prayer ceremony for children or sexual ability,អប្សរា​ជាប់​ទាក់​ទង​នឹង​ទឹក និង​នឹង​ពិធី​បួង​សួង​សុំ​កូន​រឺ​សមត្ថភាព​ផ្លូវ​ភេទ
Apsaras with a particularly known as an eg,អប្សរា​ដែល​មាន​ឈ្មោះ​ជា​ពិសេស​ដែល​គេ​ស្គាល់​គឺ ឧរ្វសី
Other Apsara are in the audience between her feminine and her lover,អប្សរា​ផ្សេង​ទៀត​ស្ថិត​នៅ​ក្នុង​សំដី​សាសង​គ្នា​រវាង ឧរ្វសី និង​គូស្នេហ៍​របស់​នាង គឺបុរុរវ
"The magnificence 

In many cases relating on Apsara Grace in roles many important assistance","មហាភារត 

ក្នុង​រឿង​​ជា​ច្រើន​ទាក់​ទង​គ្នា​ក្នុង​មហាភារត អប្សរា​មាន​នៅ​ក្នុង​តួ​នាទី​ជំនួយ​ការសំខាន់​ៗ​ជា​ច្រើន"
"View of the various tables of Apsara names, each table is not the same",វីរកថា​បាន​និយាយ​អំពី​តារាងផ្សេងៗ​នៃ​​ឈ្មោះ​អប្សរា​សំខាន់​ តារាង​និមួយៗ​មិន​សុទ្ធ​តែ​ដូច​គ្នា​នោះ​ទេ
"Missing that the ethnic should be abandoned, Indra also sends Apsara to put his dicks",ដោយ​សំរេច​ចិត្ត​ថា ឥសី​រូប​នេះ​គួរ​តែ​បោះ​បង់​ចោល​តប​ចោល ព្រះ​ឥន្ទ្រ​ក៏​បញ្ជូន​ អប្សរា មេនក ទៅ​ដាក់​ស្នេហ៍​តាបស​រូប​នេះ
"There was fear for the anger of the Great Team, but she had to obey the command of Eynin",មេនក មាន​ការ​ភ័យ​ខ្លាច​ចំពោះ​កំហឹង​របស់​តាបស​ដ៏​ពូកែ​រូប​នេះ ប៉ុន្តែ​នាង​ត្រូវ​តែ​ស្តាប់​តាម​បញ្ជា​របស់​ព្រះឥន្ទ្រ
"When she approaches the virus of God, the air of God, the air blows her clothes away from himself",នៅ​ពេល​ដែល​នាង​ទៅ​ជិត​វិស្វមិត្រ ខ្យល់​របស់​ព្រះ​វាយុ បាន​បក់​បំប៉ើង​សំលៀកបំពាក់​របស់​នាង​​ចេញ​ពី​ខ្លួន
"Seeing her, she had no such dress, herms, also drowning in her lust",ដោយ​ឃើញ​នាង​គ្មាន​សំលៀក​បំពាក់​បែប​នេះ ឥសី​ក៏​លង់​​ក្នុង​សំនាញ់​តណ្ហា
Apsara and Hime Live at a fun time each time during the time of the resolution has been missed,អប្សរា​និង​ឥសី រស់​នៅ​សប្បាយ​ជា​មួយ​គ្នា​មួយ​រយៈកាល ដែល​ក្នុង​អំលុង​ពេល​នោះ តប​របស់វិស្វមិត្រ​ត្រូវ​បាន​ ខក​ខាន
"As a result, it was given birth to her birth she had given up on the river",ជា​លទ្ធផល​ មេនក បាន​ផ្តល់​កំនើត​បុត្រី​ម្នាក់ ដែល​នាង​បាន​បោះបង់​ចោល​នៅ​មាត់​ទន្លេ
"The daughter was white, and you said this. ""","បុត្រី​នោះ​គឺ​នាង សកុន្តលា អ្នក​និយាយ​រឿង​នេះ​​នេះ​ឯង"""
"On the nerves burned near Boro, the congregation was flighting in the angel flying in heaven in heaven, including Apsara",នៅ​លើ​ប្រសាទ​មេនដុត ជិត​ បូរ៉ូបុដួរ មាន​ឆ្លាក់​ទេវតា​មួយ​ក្រុម កំពុង​ហោះ​ហើរ​លើ​ស្ថានសួគ៌ ដោយ​ក្នុង​នោះ​មាន​រូប​អប្សរា​ដែរ
Apsara generally classified as Heavenly Srey,ជា​ទូទៅ អប្សរា ត្រូវ​បាន​គេ​ចាត់​ថា​ជា​ស្រី​សួគ៌ រស់​នៅ​ជា​មួយ​ព្រះឥន្ទ្រ
The suburbs conquered their own passions of God and the war wins that giant,អរជុន​បាន​ឈ្នះកាមតណ្ហា​របស់​ខ្លួន​ឯង ក៏​ទទួល​បាន​ពរ​ពី​ព្រះ​ជា​ម្ចាស់ ហើយ​ក៏​ធ្វើ​សង្គ្រាម​ឈ្នះ​យក្ស​នោះ​ទៅ
"Apsara in Khmer Arts and Architecture 

Apsara is an important part of the traditional Khmer temples","អប្សរា​នៅ​ក្នុង​សិល្បៈ​និង​ស្ថាបត្យកម្ម​ខ្មែរ 

អប្សរា​​ជា​ផ្នែក​ដ៏​សំខាន់​មួយ​នៅ​ក្នុង​ចំលាក់​នានា​លើ​ប្រសាទ​ បុរាណខ្មែរ"
Apsara statues are more in Angkor Wat Terrorist,រូប​ចំលាក់​អប្សរា​មាន​ច្រើន​នៅ​លើ​ប្រសាទ​អង្គរវត្ត
Some of the Apsaras take hands with other apsara hugs and seem to be welcoming visitors,អប្សរា​ខ្លះ​​យក​ដៃ​អោប​អប្សរា​ផ្សេង​ទៀត ហើយ​ហាក់​ដូច​ជា​កំពុង​ស្វាគមន៍​អ្នក​ទស្សនា
"Like the Khmer Election History, the Khmer Yijii Yi Liegian in Chinese, not Khmer, not Khmer",ដូចជាប្រវត្តិបឋមក្សត្រខ្មែរហៅថាព្រះនាងលីវយី លីវយីជាភាសាចិនមិនមែនភាសាខ្មែរទេ
"Obviously, the Apsara story is the same as well, we are based on the entire foreign documents to Apsara, formation and role of Apsara",ជាក់ស្ដែងរឿងដែលទាក់ទងនឹងអប្សរានេះក៏ដូចគ្នាដែរ គឺយើងពឹងផ្នែកទៅលើឯកសារបរទេសទាំងស្រុងមកអោយនិយមន័យអប្សរា ការកកើតនិងតួនាទីរបស់អប្សរា
"A /. According to the definition above Apsara, the women of the women of the cloud and water in Hindu and Buddhism",ក/. យោងតាមនិយមន័យខាងលើ អប្សរាជាព្រលឹងដួងវិញ្ញាណស្រ្ដីនៃពពក និង ទឹកក្នុងជំនឿហិណ្ឌូ និង ពុទ្ធសាសនា
"B /. According to the Bible, or from the harem, the Apsara role is the servant of God",ខ/. យោងតាមគម្ពីរឫគវេទថាតួនាទីអប្សរាជាស្រីបំរើរបស់ព្រះឥន្រ្ទ
C /. Apsara in the art of Java is a beautiful heavenly Heaven,គ/. អប្សរានៅក្នុងសិល្បៈរបស់ជ្វាជាស្រីសួគ៌ដ៏ស្អាតរស់នៅជាមួយព្រះឥន្ទ្រ
D. Some comments say Apsaras as a dance girl in paradise,ឃ/. មតិខ្លះនិយាយថាអប្សរាជាស្រីរបាំនៅឋានសួគ៌
"Yes /. According to stories, stiring apsara dunes as one of the many tablets of many tablets that were caused by the sea the milk of the angels and inequest",ង/. យោងតាមរឿងកូរសមុទ្រទឹកដោះ អប្សរាជាវត្ថុទិព្វមួយក្នុងចំនោមវត្ថុទិព្វជាច្រើនដែលកើតចេញពីការកូរសមុទ្រទឹកដោះនៃពពួកទេវតា និង អសុរៈ
"Close to look around, don't have to look away hard",ចូរក្រលេកអោយជិតបែរមើលជុំវិញខ្លួន កុំចាំបាច់ទៅមើលដល់ឆ្ងាយនាំលំបាក
"In the Dictionary of Samdron, the monk Chuanna explained:
Apsara (Raba: Raba) as the Semenar: Apsara Rama (HTC) and Delegation","ក្នុងវចនានុក្រមសម្ដេចព្រះសង្ឃរាជ្យជួនណាតបានពន្យល់ថា៖
អប្សរា (អ៍ប ប្សៈរ៉ា) ដូចគ្នានឹង អច្ឆរាៈ ស្រីអប្សរា (ម.ព. អច្ឆរា និង អប្សរ)"
"To date, we give our name as the Kingdom of Wonder",រហូតមកដល់បច្ចុប្បន្ន យើងអោយឈ្មោះរបស់យើងថាជាព្រះរាជាណាចក្រអច្ឆរិយៈ
That is why we have respected parenting parentes,ហេតុដូចនេះហើយបានយើងគោរពលទ្ធិមាតាធិប្បតេយ្យយកមេជាធំ
"In short, Apsara is the female weldings that establish the Union of Wondery Lands: Our Royal Chile of Apsara",សរុបសេចក្ដីមក អប្សរា គឺ អច្ឆរា ស្រីដែលបង្កើតដែនដីអច្ឆរិយៈគឺបឋមក្សត្ររបស់យើង​ ដែលជារាជនីនៃអប្សរាទាំងឡាយ
What about anyone else refers to anyone referring to the younger generation of parenting parentes.,ចុះអប្សរាដទៃទៀតសំដៅលើអ្នកណា គឺសំដៅលើកូនចៅជំនាន់ក្រោយនៃប្រទេសមាតាធិប្បតេយ្យនេះឯង
"Research by Kiet Chanthon 
Ordering Sok Kim Heng

Reference documents 

Khmer culture","ស្រាវជ្រាវដោយ គៀត ចាន់ថុន 
បកស្រាយដោយ សុខគឹមហេង

ឯកសារ​យោង 

វប្បធម៌ខ្មែរ"
The Khmer Empire was established near the early 9th century,អធិរាជាណាចក្រខ្មែរត្រូវបានបង្កើតឡើងនៅកៀកនឹងដើមសតវត្សទី៩
The new genealogy ended in the 14th century,ពង្សាវតារខត្តិយវង្សថ្មីនេះបានបញ្ចប់នៅសតវត្សទី១៤
About 100 years of the transitional period of the following year initiated an age or middle of the history of Cambodia in the mid of the 15th century,សម័យអន្តរកាលប្រហែល ១០០ ឆ្នាំបន្ទាប់ បានផ្ដើមនូវយុគអន្ធកាល រឺ សម័យកណ្ដាលនៃប្រវត្តិសាស្ត្រកម្ពុជាក្នុងពាក់កណ្ដាលសតវត្សទី១៥
"Marine trade is the foundation for the 16th century, a glorious period",ពាណិជ្ជកម្មសមុទ្រគឺជាមូលដ្ឋានគ្រឹះសំរាប់សតវត្សទី១៦ ដែលជាសម័យកាលពោរពេញដោយភាពរុងរឿង
Intervene in the immortality and cross-agents policy has committed to cause corruption to the damnity to the dynasty,អន្តរាគមន៍ក្នុងការឡើងសោយរាជ្យ និង គោលនយោបាយអាពាហ៍ពិពាហ៍ឆ្លងសាសន៍បានប្រព្រឹត្តិឡើងបង្កឱ្យមានការខូចព្រះកិត្តិនាមដល់រាជវង្ស
"Odong was established in 1601, the last palace of the middle period",ឧដុង្គត្រូវបានស្ថាបនាឡើងនៅឆ្នាំ១៦០១ ជាព្រះរាជវាំងចុងក្រោយនៃសម័យកណ្ដាល
"Skulls and the human bones found in Samrong Sang, in Kampong Chhnang, Kampong Chhnang dated from 1500m c.",លលាដ៍ក្បាល និងឆ្អឹងមនុស្សដែលបានរកឃើញ នៅសំរោងសែនក្នុងខែត្រកំពង់ឆ្នាំងបានចុះកាលបរិច្ឆេទចាប់ពីឆ្នាំ ១៥០០ មគ.
Heng-Sophia (2007) pulled the comparison between the Banteay Kong Kong Sang and the Banteay Kie station in eastern Cambodia,លោកហេង-សុផាឌី (២០០៧) បានទាញនូវការប្រៀបធៀបរវាងស្ថានីយ៍បន្ទាយគូសំរោងសែន និងស្ថានីយ៍បន្ទាយគូនៅភាគខាងកើតកម្ពុជា
These people are likely to have migrated from southeast China to poster,មនុស្សទាំងនេះទំនងជាបានធ្វើទេសន្តរប្រវេសន៍ពីចិនភាគអាគ្នេយ៍មកកាន់ទៀបកោះឥណ្ឌូចិន
"The scholars find that doing the first to do the bronze and bronze, in Southeast Asia shall be made by these people",ពួកអ្នកប្រាជ្ញរកឃើញថាការធ្វើស្រូវ និងសំរិទ្ធិដំបូងគេដែលធ្វើនៅតំបន់អាស៊ីអាគ្នេយ៍​ត្រូវធ្វើឡើងដោយពួកមនុស្សអស់ទាំងនេះ
Culture and technical skills of these people in the first century of the cute. Have left far from the primary phase,វប្បធម៌ និង ជំនាញបច្ចេកទេសនៃមនុស្សទាំងនេះ នៅសតវត្សទី១ នៃគស. បានចាកហួសឆ្ងាយពីដំណាក់កាលបុព្វកាលហើយ
Recent research has shown the discovery of the dating Banteay Banteaydown to the Neolithic period of Cambodia,ការស្រាវជ្រាវថ្មីៗនេះ បានបង្ហាញឱ្យឃើញនូវរបកគំហើញនៃបន្ទាយគូរាងមូល ដែលចុះកាលកំណត់ទៅដល់សម័យយុគថ្មរំលីងរបស់កម្ពុជា
"1 
Cambodians are a group of people among the first locals of Southeast Asia","1 
ជនជាតិខ្មែរគឺជាក្រុមមនុស្សមួយក្រុមក្នុងចំណោម ពួកអ្នកស្រុកដំបូងបង្អស់នៃតំបន់អាស៊ីអាគ្នេយ៍"
"There are also some swords and other attacks, other attacks are used in the clashes",ផ្នូរទាំងនេះក៏មានដាវមួយចំនួន និងសាស្ត្រាវុធវាយប្រហារផ្សេងៗទៀតត្រូវបានគេប្រើក្នុងការប៉ះទង្គិចគ្នានេះដែរ
"The kingdom was promoted by Chenla, which has managed to be part of Cambodia's largest Vietnam, Laos and Thailand",នគរនេះត្រូវបានស្នងបន្តដោយចេនឡាដែលបានគ្រប់គ្រងប៉ែកដ៏ធំនៃ កម្ពុជា វៀតណាម លាវ និង ថៃ សម័យថ្មីនេះ
Trade with India has launched a good embark before 500 meters. (Previously the global use of the Sanstrex in a language in India),ការដោះដូរពាណិជ្ជកម្មជាមួយឥណ្ឌាបានផ្ដើមល្អមុនឆ្នាំ ៥០០ មគ. (ពីមុនការប្រើប្រាស់ជាសកលនៃភាសាសំស្ក្រឹតដែលជាភាសាមួយក្នុងប្រទេសឥណ្ឌា)
"Along with India, Indian trade has brought Indencilization into the culture of the Funanan kingdoms and Hindu religion",រួមជាមួយពាណិជ្ជកម្ម ឥណ្ឌាបាននាំមកនូវឥណ្ឌូបនីយកម្មចូលក្នុងវប្បធម៌នគរហ៊្វូណន និង សាសនាព្រហ្មញ្ញ
The Hindu cultural features and the Devil tradition continued to survive in Khmer society,លក្ខណៈពិសេសខាងវប្បធម៌និងទំនៀមទំលាប់ព្រហ្មញ្ញសាសនាបានបន្តគង់វង្សក្នុងសង្គមខ្មែរ​មកទល់ពេល​សព្វថ្ងៃនេះ​នៅឡើយ
In the period of CE 245-250 Those of the people of the Uuan kingdom of China visited the city of Funnia,ក្នុងសម័យកាល គ.ស. ២៤៥-២៥០ ពួកអ្នកមានបណ្ដាសក្ដិយសនៃនគរអ៊ូរបស់ចិនបានមកទស្សនកិច្ចទីក្រុងរបស់ហ៊្វូណន វ្យាធបុរៈ
"Thai and Juan ambassadors have confirmed that Funan, while there was a different criminal criminal culture",ពួកបេសកទូត ខាងថៃ និង ជូយីងបានបញ្ជាក់ថាហ៊្វូណន ខណៈនោះមានវប្បធម៌ព្រហ្មញ្ញដោយឡែកខុសគេ
Trade with China began following the expansion of the territory of the Han Dynasty south of about the second century BC.,ពាណិជ្ជកម្មជាមួយចិនបានចាប់ផ្ដើមក្រោយពីការពង្រីកទឹកដីរបស់រាជវង្សហានឆ្ពោះមកខាងត្បូង ប្រហែលសតវត្សទី២ មុន គ.ស.
Scholars argue how this narrative comes from the actual event of Copper in the country and the status of Kang Nang,ពួកអ្នកប្រាជ្ញជជែកពិភាក្សាគ្នា ថាតើនិទានកថានេះកើតចេញពីព្រឹត្តិការណ៍ពិតស៊ីជំរៅយ៉ាណា ទៅលើដើមកំនើត និងឋានៈរបស់កៅណ្ឌិន្យ
"A Chinese documentary, which has been subjected to four adjustments, and the third-century the third-century of the Champara is a contemporary source of the contemporary source",ឯកសារចិនមួយច្បាប់ ដែលបានទទួលរងការកែចុះឡើង៤លើក និងសិលាចារឹកអភិលេខន៍សតវត្សទី៣របស់ចាម្ប៉ាមួយទៀតជាប្រភពសហសម័យ
"Icon
Is also the first independent state that grown outside of the influence of Empire Funan","កម្វុជ
ក៏ជារដ្ឋឯករាជ្យទីមួយ ដែលបានរីកធំធាត់នៅក្រៅឥទ្ធិពលរបស់អាណាចក្រហ៊្វូណន"
"He chose a new capital location in the Sambor Prey Kuar, named Northime North",ទ្រង់បានជ្រើសរើសទីតាំង រាជធានីថ្មីមួយនៅសំបូរព្រៃគុហ៍ដោយបានដាក់ឈ្មោះថាឦឝានបុរ
"Prince of Beauty, the Kingdom of Salon, has been declared the King of the entire Kampuchea",ព្រះអង្គម្ចាស់បុឝ្ករាក្ឝជាក្សត្រនៅឯសម្ភុបុរបានប្រកាសខ្លួនជាស្ដេចនៃកម្ពុជរដ្ឋទាំងមូល
China's medical priority has claimed that in the 8th century Chenla had to be divided into Mainland and Chenla,រាជពង្សាវតារចិនបានអះអាងថានៅសតវត្សទី៨ ចេនឡាត្រូវបែកទៅជាចេនឡាដីគោក និង ចេនឡាទឹកលិច
"During the reign of King Yue Samram, one is a famous King (889 - 910), where his capital moved to the pasture",ក្នុងរជ្ជកាលនៃព្រះបាទយសោវម៌្មទី១ ជាស្ដេចល្បីល្បាញមួយអង្គ (៨៨៩​ -​ ៩១០) ដែលរាជធានីរបស់ទ្រង់បានរើទៅឯយសោធរបុរៈវិញ
"King Yangya, Earth, and subsequent territory because of the winning many times",ព្រះបាទជយវម៌្មទី៨ទទួលបានអំណាច និងទឹកដីជាបន្តបន្ទាប់ដោយសារការធ្វើសង្គ្រាមបានជ័យជម្នះជាច្រើនលើក
"The Khmer conquests were almost unstoppable, then Khmer had been attacking the city's birth in the village city",ការធ្វើសញ្ជ័យរបស់ខ្មែរស្ទើរតែមិនឈប់ឈរ ពេលនោះខ្មែរបានធ្វើការវាយលុកទីក្រុងកំណើតពួកចាម នៅតាមមាត់សមុទ្រដែលជាទីក្រុងដ៏មានអនុភាព
"However, territorial expansion has stopped after failing to defeat the Vietnamese arm",ក៏ប៉ុន្តែ ការពង្រីកទឹកដីបានបញ្ឈប់ បន្ទាប់ពីបរាជ័យក្រោមដៃដាយវៀត
In the fighting battlefield has confirmed King Setance Synasty,ក្នុងសមរភូមិប្រយុទ្ធ បានបញ្ជាក់អំពីការចូលទិវង្គតរបស់ព្រះបាទសូយ៌្យវម៌្មទី២
"After after the death of King Rouge, Krey 8 Khmer was gradually planted",បន្តបន្ទាប់ពីការសោយទិវង្គតនៃព្រះបាទជយវម៌្មទី៨ ខ្មែរបានរងការដាំក្បាលចុះបន្តិចម្ដងៗ
Angkor Capital has been abandoned after the Siamese occupied the region,រាជធានីអង្គរត្រូវបានគេបោះបង់ចោល បន្ទាប់ពីពួកសៀមបានកាន់កាប់តំបន់នេះ
"Angkor is located near the Tonle Sap Lake, the largest lake in Southeast Asia",អង្គរស្ថិតនៅក្បែរបឹងទន្លេសាបសម្បូរទៅដោយត្រី ដែលជាបឹងដ៏ធំបំផុតនៅអាស៊ីអាគ្នេយ៍
"In addition, there is also trading along with neighboring Kingdoms and China",បន្ថែមលើសពីនោះ ក៏មានការជួញដូរផងដែរជាមួយព្រះរាជាណាចក្រជិតខាង និង ចិន ដែលបានប្រព្រឹត្តទៅដោយឡែកៗ
"Khmer culture has been heavily influenced by Hinduism and Buddhism, the two religions are usually represented the root of the Khmer society",វប្បធម៌ខ្មែរបានរងឥទ្ធិពលយ៉ាងខ្លាំងដោយព្រហ្មញ្ញសាសនា និងព្រះពុទ្ធសាសនា ទីបំផុតសាសនាទាំងពីរនេះនៅតែជាតំណាងឱ្យឫសគល់នៃសង្គមខ្មែរដដែល
"In Cambodia

15th to 19th centuries are the period of decline and loss of territories","យុគអន្ធកាលនៃកម្ពុជា

សតវត្សទី១៥ ដល់ ទី១៩ គឺជាសម័យកាលនៃការធ្លាក់ចុះ និង បាត់បង់ទឹកដីជាបន្តបន្ទាប់"
"In 1431, Cambodia became a nation of Siem Reap",នៅឆ្នាំ ១៤៣១ កម្ពុជាបានក្លាយជាប្រទេសចំណុះសៀម
"This is a period of time that time at that time, Spanish adventurers and missionaries and Portuguese visited the country for the first time",នេះគឺជាសម័យកាលមួយ ដែលនៅពេលនោះពួកអ្នកផ្សងព្រេង និងសាសនទូតអេស្ប៉ាញ និងព័រទុយហ្កាល់បានមកទស្សនាប្រទេសនេះលើកដំបូង
But the conquest of the new capital at Dr. Siam's Lokg in 1594 shows the decline in Cambodia's fate,ក៏ប៉ុន្តែការសញ្ជ័យយករាជធានីថ្មី នៅលង្វែករបស់សៀមនៅឆ្នាំ ១៥៩៤ បានបង្ហាញឱ្យឃើញនូវដំណាក់កាលធ្លាក់ចុះ នៃជោគវាសនារបស់ប្រទេសខ្មែរ
"Khmer became a pawn in power between two of the influence of two neighbors, Siam and Vietnamese",ខ្មែរបានក្លាយជាកូនអុកមួយស្ថិតក្នុងការដណ្ដើមអំណាចគ្នារវាងប្រទេសជិតខាងពីរ​ដែលកំពុងតែមានឥទ្ធិពល គឺ សៀម និង យួន
Cambodia has also fallen under the protection of the Siamese,កម្ពុជាក៏បានធ្លាក់ក្រោមអាណាព្យាបាលសៀម
Vietnamese settlement on the Mekong Delta has led to entering the area by the end of the 17th century as the Vietnamese territory,ការតាំងទីលំនៅរបស់យួននៅលើតំបន់ដីសណ្ដទន្លេមេគង្គ បាននាំឲ្យមានការបញ្ចូលតំបន់នេះនៅចុងសតវត្សទី ១៧ ជាទឹកដីរបស់យួន
Vietnam used a strategy similar to the North American pilgrims and colonists: settled and demanded land ownership,យួនបានប្រើយុទ្ធសាស្ត្រមួយស្រដៀងទៅនឹងពួកធម្មយាត្រា និងពួកនិគមជនអាមេរិកខាងជើង៖ តាំងលំនៅ ហើយទាមទារសិទ្ធិជាម្ចាស់ទឹកដី
"By the end of the 18th century yuan, conquered the first to Khmer territory",នៅចុងសតវត្សទី១៨ យួនបានសញ្ជ័យបានកូសាំងស៊ីន ដែលកាលពីមុនជាទឹកដីរបស់ខ្មែរ
"In western Khmer, there lost provinces to Siam",នៅភាគខាងលិច ខ្មែរបានបាត់បង់ខេត្តនានាទៅឱ្យសៀម
Foreign encroachment continued until the first half of the 19th century,ការរំលោភទន្ទ្រានរបស់បរទេសបានបន្ត រហូតដល់ពាក់កណ្ដាលទីមួយនៃសតវត្សទី១៩
1807 creates Vietnamese guardians together in Khmer territory,ឆ្នាំ ១៨០៧ មានការបង្កើតអាណាព្យាបាលរបស់យួនរួមគ្នាលើទឹកដីខ្មែរ
"In the 19th century, the capital of the Anna was Odong",នៅសតវត្សទី១៩ រាជធានីនៃដែនអាណាព្យបាលនេះគឺស្ថិតនៅឧដុង្គ
The reign of Angel Duong seems to be the time of peace and prosperity,រជ្ជកាលនៃព្រះបាទអង្គឌួងតាមមើលទៅ ជាសម័យកាលនៃសន្តិភាពនិងវិបុលភាពគ្រាន់បើដែរ
"King Norodom, who was overeign in 1859, moved into Phnom Penh",ព្រះបាទនរោត្តម ដែលបានឡើងសោយរាជ្យបន្តនៅឆ្នាំ ១៨៥៩ បានផ្លាស់រាជធានីទៅកាន់ភ្នំពេញវិញ
The state has been under a slight French colonial control,រដ្ឋនេះបានស្ថិតនៅក្រោមការត្រួតត្រារបស់អាណានិគមបារាំងម្ដងបន្តិចៗ
The situation of Cambodia in the war is chaos,ស្ថានភាពប្រទេសកម្ពុជានៅក្រោយសង្គ្រាមលោកមានភាពវឹកវរ
